0,1,2,3,0,1,2
d_int,d_est,lungh,compo_fascio,origine_x,origine_y,rotazione
26,30,250,6-7-8-9-8-7-6,105.15196366097892,90.49902885326976,parallela
26,30,300,6-7-8-9-8-7-6,105.15196366097892,90.49902885326976,parallela
30,34,100,6-7-8-9-8-7-6,98.02613063605914,85.39210691510445,parallela
39,47,210,5-6-7-8-7-6-5,97.07802879738588,84.20288568297002,perpendicolare
40,42.6,330,5-6-7-8-7-6-5,100.13569013377062,80.84393686063518,perpendicolare
51,59,625,4-5-6-5-4,98.77799070568021,84.57479672781159,perpendicolare
30,34,300,6-7-8-9-8-7-6,98.02613063605914,85.39210691510445,parallela
30,35,500,6-7-8-9-8-7-6,99.18876947354576,86.47643358907811,parallela
30,36.5,350,6-7-8-9-8-7-6,100.9327277297757,88.10292360003861,parallela
33,38,210,6-7-8-9-8-7-6,99.3382066518189,84.12927405783631,perpendicolare
33,38,220,6-7-8-9-8-7-6,99.3382066518189,84.12927405783631,perpendicolare
50,58,250,4-5-6-5-4,98.09573662592291,83.96036297108184,perpendicolare
30,33,230,6-7-8-9-8-7-6,96.86349179857251,89.49460598986377,parallela
30,33,300,6-7-8-9-8-7-6,96.86349179857251,89.49460598986377,parallela
33,38,340,6-7-8-9-8-7-6,99.3382066518189,84.12927405783631,perpendicolare
33,44,480,5-6-7-8-7-6-5,101.50317760295559,81.91269330410536,perpendicolare
38,50,650,5-6-7-8-7-6-5,91.11558254832845,79.28076211353316,parallela
45,49,185,4-5-6-5-4,96.38345911860128,86.80467134980626,parallela
45,50,500,4-5-6-5-4,97.15666419935816,87.58588913245535,parallela
50,60,460,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
50,60,600,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,59,470,4-5-6-5-4,98.77799070568021,84.57479672781159,perpendicolare
60,65,500,4-5-6-5-4,91.82875858022203,84.64582562299425,parallela
77,83,500,3-4-3,91.05322316644163,88.20803797993796,parallela
26,30,400,6-7-8-9-8-7-6,105.15196366097892,90.49902885326976,parallela
30,36.5,270,6-7-8-9-8-7-6,100.9327277297757,88.10292360003861,parallela
39,47,265,5-6-7-8-7-6-5,97.07802879738588,84.20288568297002,perpendicolare
50,53.2,470,4-5-6-5-4,100.83317219122112,81.01108093877909,perpendicolare
50,53.2,630,4-5-6-5-4,100.83317219122112,81.01108093877909,perpendicolare
33,38,300,6-7-8-9-8-7-6,99.3382066518189,84.12927405783631,perpendicolare
50,52.6,370,4-5-6-5-4,100.35685821913968,80.64242068474124,perpendicolare
50,53.2,520,4-5-6-5-4,100.83317219122112,81.01108093877909,perpendicolare
50,57,460,4-5-6-5-4,97.41348254616562,83.3459292143521,perpendicolare
50,60,250,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
50,60,520,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
50.2,60,300,3-4-5-4,0,0,error
50.2,60,300,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,63,400,4-5-6-5-4,90.79781847254617,83.52980021920982,parallela
51,64,470,4-5-6-5-4,91.3132885263841,84.08781292110204,parallela
30,33,127,6-7-8-9-8-7-6,96.86349179857251,89.49460598986377,parallela
50,60,500,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,59,610,4-5-6-5-4,98.77799070568021,84.57479672781159,perpendicolare
51,63,600,4-5-6-5-4,90.79781847254617,83.52980021920982,parallela
77,89,300,3-4-3,93.41924857022606,84.92287828104452,parallela
