origine_x,origine_y,rotazione
92.73083117443839,78.02287828104451,parallela
86.7637420655993,65.70475144374491,perpendicolare
100.69194351524827,68.60018333602231,perpendicolare
93.41924857022606,84.92287828104452,parallela
105.34971307261985,81.9636406041422,perpendicolare
105.34971307261985,81.9636406041422,perpendicolare
93.41924857022606,84.92287828104452,parallela
105.28576026305177,85.8377531126037,perpendicolare
101.46825748732972,81.50262794416287,perpendicolare
97.6109489409537,79.88782217350894,perpendicolare
104.94768035073571,81.67583302491978,perpendicolare
104.94768035073571,81.67583302491978,perpendicolare
93.20237020535575,83.2283573777248,parallela
95.43428289111415,82.67609076372692,perpendicolare
